Datetime,alpha_score,signal,strategy_return,cumulative_strategy_return,buy_and_hold
2023-07-03 09:30:00,0.0,0,,,
2023-07-03 10:00:00,0.0,0,0.0,1.0,1.0015153511661614
2023-07-03 10:30:00,0.0,0,0.0,1.0,1.0025695084991433
2023-07-03 11:00:00,0.0,0,0.0,1.0,1.003755435498748
2023-07-03 11:30:00,0.0,0,-0.0,1.0,1.0032942416655684
2023-07-03 12:00:00,0.001897483199367489,0,0.0,1.0,1.0047437079984185
2023-07-03 12:30:00,0.001157818564568114,0,-0.0,1.0,1.0044142838318617
2023-07-03 13:00:00,0.0008674508773083289,0,0.0,1.0,1.0047437079984185
2023-07-03 15:30:00,0.00039382999671806475,0,0.0,1.0,1.0047437079984185
2023-07-05 09:30:00,-0.0019840720230746792,0,-0.0,1.0,1.0003294241665568
2023-07-05 10:00:00,-0.23013719003734937,-1,-0.0,1.0,1.0002635393332453
2023-07-05 10:30:00,-0.10098936451424992,0,-0.00019760242392297123,0.999802397576077,1.0004611938331793
2023-07-05 11:00:00,-0.0636959680653189,0,0.0,0.999802397576077,1.0009223876663589
2023-07-05 11:30:00,-0.05115715300454827,0,0.0,0.999802397576077,1.001251811832916
2023-07-05 12:00:00,-0.01258923884523806,0,-0.0,0.999802397576077,0.999143497166952
2023-07-05 12:30:00,0.05584504020655907,0,0.0,0.999802397576077,0.9993411516668863
2023-07-05 13:00:00,-0.20279565091554155,-1,0.0,0.999802397576077,0.9996046910001318
2023-07-05 13:30:00,-0.2951201328759232,-1,-6.591088847862636e-05,0.9997364997117497,0.9996705758334431
2023-07-05 14:00:00,-0.28697732972709666,-1,-0.0007249719897186591,0.9990117187523593,1.0003953089998683
2023-07-05 14:30:00,-0.25893801770973107,-1,-0.0008561643835616195,0.9981564005000029,1.0012518118329161
2023-07-05 15:00:00,-0.08069775113679752,0,-0.0012502467592288014,0.9969084586950743,1.0025036236658322
2023-07-05 15:30:00,1.3989803152431275,1,0.0,0.9969084586950743,1.0029648174990118
2023-07-06 09:30:00,0.7527533731211068,1,-0.006634697497208131,0.9902942726392244,0.9963104493345633
2023-07-06 10:00:00,0.18678827438488504,0,-0.002446766300753911,0.9878712539851011,0.9938727105020425
2023-07-06 10:30:00,0.1530717043187469,0,0.0,0.9878712539851011,0.9979575701673475
2023-07-06 11:00:00,-0.05073369130092546,0,0.0,0.9878712539851011,0.9982211095005928
2023-07-06 11:30:00,-0.021498436321148295,0,0.0,0.9878712539851011,1.000527078666491
2023-07-06 12:00:00,-0.015545664487955503,0,0.0,0.9878712539851011,1.0011200421662934
2023-07-06 12:30:00,0.007508286280554044,0,-0.0,0.9878712539851011,1.0004611938331798
2023-07-06 13:00:00,0.19551020232620817,0,0.0,0.9878712539851011,1.0019765449993414
2023-07-06 13:30:00,0.1458839263072209,0,-0.0,0.9878712539851011,1.0018447753327187
2023-07-06 14:00:00,-0.23671296574433603,-1,-0.0,0.9878712539851011,1.0013176966662276
2023-07-06 14:30:00,-0.17250756997203348,-1,-0.0007237794446639523,0.9871562530774923,1.002042429832653
2023-07-06 15:00:00,0.012761836223586375,0,0.00013150108488402257,0.9872860651957219,1.0019106601660301
2023-07-06 15:30:00,1.5775212764135544,1,-0.0,0.9872860651957219,1.0013835814995393
2023-07-07 09:30:00,0.9872635286610695,1,-0.00881636949799336,0.9785817864447365,0.9925550138358155
2023-07-07 10:00:00,0.00286620481773172,0,-0.002124128775306988,0.9765031527131579,0.9904466991698516
2023-07-07 10:30:00,0.0841598470454069,0,0.0,0.9765031527131579,0.9920279351693244
2023-07-07 11:00:00,0.05291826672753432,0,-0.0,0.9765031527131579,0.9883383845038876
2023-07-07 11:30:00,0.2650040301863391,0,-0.0,0.9765031527131579,0.9854394518381872
2023-07-07 12:00:00,-0.1200079781469394,0,0.0,0.9765031527131579,0.9887995783370673
2023-07-07 12:30:00,-0.16140208508758014,-1,0.0,0.9765031527131579,0.9903808143365401
2023-07-07 13:00:00,-0.16606698734676903,-1,0.002128791910590677,0.9785819247253201,0.9882724996705763
2023-07-07 13:30:00,-0.06881681188999496,0,0.0008000000000000229,0.9793647902651003,0.9874818816708398
2023-07-07 14:00:00,-0.26285670697492053,-1,-0.0,0.9793647902651003,0.9872842271709057
2023-07-07 14:30:00,-0.2452384472305812,-1,0.002135468802135443,0.9814561932206212,0.9851759125049419
2023-07-07 15:00:00,0.16233365932681162,0,0.0004012572727880581,0.9818500096560738,0.9847806035050737
2023-07-07 15:30:00,1.9610534074279404,1,-0.0,0.9818500096560738,0.9804980893398345
2023-07-10 09:30:00,0.8788360592607107,1,0.008936970837253089,0.9906247745589268,0.989260772170247
2023-07-10 10:00:00,-0.18627732554758375,-1,-0.0012654012654012003,0.9893712367156622,0.988008960337331
2023-07-10 10:30:00,0.08334669326077582,0,0.004451186983195687,0.993775113086079,0.9836111477137968
2023-07-10 11:00:00,0.0792434529537213,0,-0.0,0.993775113086079,0.983594676505469
2023-07-10 11:30:00,-0.0060069547846031465,0,0.0,0.993775113086079,0.9839899855053372
2023-07-10 12:00:00,-0.1643584424880598,-1,-0.0,0.993775113086079,0.9826064040057984
2023-07-10 12:30:00,-0.14253726342569523,0,-0.00026820437173147305,0.9935085782562314,0.9828699433390441
2023-07-10 13:00:00,-0.11938188935857118,0,0.0,0.9935085782562314,0.983397022005535
2023-07-10 13:30:00,-0.22384374252189568,-1,0.0,0.9935085782562314,0.9834629068388464
2023-07-10 14:00:00,-0.2838761254493677,-1,-0.0004689488845714962,0.9930426735166459,0.983924100672026
