Datetime,alpha_score,signal,strategy_return,cumulative_strategy_return,buy_and_hold
2023-07-03 09:00:00,0.0,0,,,
2023-07-03 10:00:00,0.0,0,-0.0,1.0,0.9969986357435198
2023-07-03 11:00:00,0.0,0,0.0,1.0,1.0001364256480219
2023-07-03 12:00:00,0.0,0,-0.0,1.0,0.9995225102319235
2023-07-03 13:00:00,0.0,0,0.0,1.0,0.9999999999999999
2023-07-03 15:00:00,0.0,0,0.0,1.0,0.9999999999999999
2023-07-05 09:00:00,0.0024083196496989426,0,0.0,1.0,1.00300136425648
2023-07-05 10:00:00,0.0016914472786796254,0,0.0,1.0,1.0043656207366984
2023-07-05 11:00:00,0.003030096226028789,0,0.0,1.0,1.0070941336971349
2023-07-05 12:00:00,-0.0008814211872822165,0,-0.0,1.0,0.9991814461118688
2023-07-05 13:00:00,-0.1682322744909525,0,-0.0,1.0,0.9969986357435195
2023-07-05 14:00:00,-0.07326943588655406,0,-0.0,1.0,0.9960436562073669
2023-07-05 15:00:00,0.33899397817250343,0,-0.0,1.0,0.9948158253751704
2023-07-06 09:00:00,0.024535584971661004,0,-0.0,1.0,0.9847203274215552
2023-07-06 10:00:00,-0.26814724231394393,-1,-0.0,1.0,0.980081855388813
2023-07-06 11:00:00,-0.1465594327367543,0,-0.0002783964365256075,0.9997216035634744,0.9803547066848566
2023-07-06 12:00:00,-0.19220938166955626,-1,-0.0,0.9997216035634744,0.9778990450204638
2023-07-06 13:00:00,-0.008737662241181209,0,-0.0002790178571427937,0.9994426633839087,0.9781718963165074
2023-07-06 14:00:00,-0.010706592473544784,0,-0.0,0.9994426633839087,0.9758526603001362
2023-07-06 15:00:00,1.0959275465063523,1,-0.0,0.9994426633839087,0.9724420190995905
2023-07-07 09:00:00,0.49307668246107167,1,-0.0028058361391695152,0.9966383910399583,0.9697135061391539
2023-07-07 10:00:00,0.0034893162034587586,0,0.001547552054023571,0.998180740829131,0.9712141882673939
2023-07-07 11:00:00,-0.19588447120570893,-1,0.0,0.998180740829131,0.9716234652114595
2023-07-07 12:00:00,-0.16854254122038786,0,-0.0036506599269867657,0.9945367223986962,0.975170532060027
2023-07-07 13:00:00,-0.1477873355646074,0,-0.0,0.9945367223986962,0.9720327421555249
