Datetime,alpha_score,signal,strategy_return,cumulative_strategy_return,buy_and_hold
2023-07-03 09:30:00,0.0,0,,,
2023-07-03 09:35:00,0.0,0,-0.0,1.0,0.99696607520456
2023-07-03 09:40:00,0.0,0,-0.0,1.0,0.9943918359841868
2023-07-03 09:45:00,0.0,0,-0.0,1.0,0.9911740369587203
2023-07-03 09:50:00,0.0,0,-0.0,1.0,0.9882320492782937
2023-07-03 09:55:00,-0.002353590144341267,0,0.0,1.0,0.994116024639147
2023-07-03 10:00:00,-0.00103282921431207,0,0.0,1.0,0.994391835984187
2023-07-03 10:05:00,0.0002958579881656931,0,0.0,1.0,0.9951273329042937
2023-07-03 10:10:00,0.0018180131713198657,0,0.0,1.0,0.9956789555943736
2023-07-03 10:15:00,0.0007355457005978729,0,-0.0,1.0,0.9918175967638136
2023-07-03 10:20:00,-0.2576721208934317,-1,0.0,1.0,0.9927369679139469
2023-07-03 10:25:00,-0.06593152235674966,0,0.0001852194850898714,1.0001852194850898,0.9925530936839202
2023-07-03 10:30:00,0.2627347717333184,0,-0.0,1.0001852194850898,0.9905304771536269
2023-07-03 10:35:00,-0.14685473225588483,0,0.0,1.0001852194850898,0.9928289050289602
2023-07-03 10:40:00,-0.06790954182001414,0,0.0,1.0001852194850898,0.9931966534890135
2023-07-03 10:45:00,-0.16244925705559463,-1,-0.0,1.0001852194850898,0.9931047163740002
2023-07-03 10:50:00,-0.09374950370971204,0,-0.0014812071838550267,0.9987037379528029,0.9945757102142136
2023-07-03 10:55:00,-0.02312744189767497,0,0.0,0.9987037379528029,0.9946676473292269
2023-07-03 11:00:00,-0.028227267908557695,0,0.0,0.9987037379528029,0.9948515215592536
2023-07-03 11:05:00,-0.14902148927735473,-1,0.0,0.9987037379528029,0.9954031442493335
2023-07-03 11:10:00,-0.15564611156399327,-1,0.0002770850651150347,0.9989804638430642,0.9951273329042934
2023-07-03 11:15:00,-0.16720419515491564,-1,-0.0005543237250553723,0.9984267052710891,0.9956789555943734
2023-07-03 11:20:00,-0.2348265918576437,-1,-9.233610341641274e-05,0.9983345144395775,0.9957708927093867
2023-07-03 11:25:00,-0.031050392024666952,0,-0.0014772412519619138,0.9968597335115901,0.9972418865495999
2023-07-03 11:30:00,-0.026206028854356533,0,-0.0,0.9968597335115901,0.9964144525144798
2023-07-03 11:35:00,-0.029514623391894965,0,0.0,0.9968597335115901,0.9980693205847199
2023-07-03 11:40:00,0.13760439525646617,0,0.0,0.9968597335115901,0.9986209432747998
2023-07-03 11:45:00,-0.03026634051840079,0,-0.0,0.9968597335115901,0.9972418865495998
2023-07-03 11:50:00,0.5438195823182354,1,-0.0,0.9968597335115901,0.9964144525144797
2023-07-03 11:55:00,0.3542827433476282,1,-0.00046133973057760347,0.9963998425107081,0.995954766939413
2023-07-03 12:00:00,0.3019353662764105,1,-0.0005538631957906492,0.9958479733096498,0.995403144249333
2023-07-03 12:05:00,0.27740216703360326,0,0.0,0.9958479733096498,0.995403144249333
2023-07-03 12:10:00,0.19150558396830122,0,0.0,0.9958479733096498,0.9955870184793596
2023-07-03 12:15:00,0.07101317333509208,0,0.0,0.9958479733096498,0.9963225153994663
2023-07-03 12:20:00,0.03277209330400747,0,0.0,0.9958479733096498,0.9964144525144795
2023-07-03 12:25:00,0.2921042164841124,1,-0.0,0.9958479733096498,0.9959547669394128
2023-07-03 12:30:00,-0.045998055953644444,0,9.231053263181188e-05,0.9959399005664863,0.9960467040544261
2023-07-03 12:35:00,0.4877437814276284,1,0.0,0.9959399005664863,0.9968741380895461
2023-07-03 12:40:00,-0.054151901719081894,0,0.0004611269943741725,0.9963991553394118,0.9973338236646127
2023-07-03 12:45:00,0.27759233908474557,0,0.0,0.9963991553394118,0.9974257607796259
2023-07-03 12:50:00,0.06140932706567359,0,-0.0,0.9963991553394118,0.9973338236646127
2023-07-03 12:55:00,2.9651139103452784,1,-0.0,0.9963991553394118,0.9954031442493326
2023-07-03 13:00:00,47.667553752647734,1,9.236168837167824e-05,0.996491184447691,0.995495081364346
2023-07-03 13:10:00,12.445602419971811,1,0.0,0.996491184447691,0.995495081364346
2023-07-03 15:30:00,12.128553979566146,1,0.0,0.996491184447691,0.995495081364346
2023-07-05 09:30:00,4.020824991864628,1,0.0024011821204286132,0.9988839412629515,0.9978854463546927
2023-07-05 09:35:00,0.06228283397731118,0,0.0005527915975676034,0.9994361159126269,0.9984370690447726
2023-07-05 09:40:00,0.09225663222195737,0,0.0,0.9994361159126269,0.999908062884986
2023-07-05 09:45:00,-0.08478291260520719,0,-0.0,0.9994361159126269,0.9978854463546928
2023-07-05 09:50:00,-0.11782386265380343,0,0.0,0.9994361159126269,0.9992645030798926
2023-07-05 09:55:00,-0.16667696633708304,-1,0.0,0.9994361159126269,1.0012871196101858
2023-07-05 10:00:00,-0.24904253470977408,-1,0.0030300247911119182,1.0024644321209748,0.9982531948147458
2023-07-05 10:05:00,-0.2988680486363501,-1,0.0020261558298029225,1.0044955812742868,0.9962305782844525
2023-07-05 10:10:00,-0.2968310410704729,-1,-0.0006459948320414188,1.0038466823199752,0.9968741380895458
2023-07-05 10:15:00,-0.2977638958036775,-1,-0.0004611269943741725,1.0033837815165445,0.9973338236646124
2023-07-05 10:20:00,-0.29271510197586087,-1,-0.0,1.0033837815165445,0.9973338236646124
2023-07-05 10:25:00,-0.027231755869281594,0,0.001474926253687392,1.0048636985984274,0.9958628298243991
2023-07-05 10:30:00,-0.18830162124588465,-1,-0.0,1.0048636985984274,0.9949434586742658
