Datetime,ClosePrice,AvgPrice,MedianPrice,LogAvgPrice,TotalVolume,TotalAmount,TradeCount,VWAP,FutureDirection
2023-07-03 09:30:00,108.77,108.73333346689583,108.73572916666666,4.6888958107381375,77509,8445900.705,154,108.72860958222917,0
2023-07-03 09:35:00,108.44,108.61636256885714,108.61566326530611,4.687821024363398,8661,940723.0,144,108.61705252028571,0
2023-07-03 09:40:00,108.16,108.25293465904167,108.25197916666667,4.684470150295797,6124,662780.265,105,108.25299226191667,0
2023-07-03 09:45:00,107.81,108.04420103172001,108.04459999999999,4.682539381711981,13487,1456993.715,149,108.04406570166,0
2023-07-03 09:50:00,107.49,107.51404850744777,107.51410447761194,4.677620934096421,10065,1082014.72,146,107.51424255398508,1
2023-07-03 09:55:00,108.13,107.75132051282692,107.75125,4.679824916318822,9869,1062848.6,127,107.750982315,1
2023-07-03 10:00:00,108.16,108.20771081347618,108.20833333333333,4.684052373835706,6150,665397.87,92,108.2081969527619,1
2023-07-03 10:05:00,108.24,108.19569047614286,108.19607142857144,4.6839414653123725,4087,442174.89,64,108.19571919210715,1
2023-07-03 10:10:00,108.3,108.289345833325,108.28925,4.684806702433997,4098,443826.65,82,108.289915916775,0
2023-07-03 10:15:00,107.88,108.10874384237931,108.1094827586207,4.683136499535427,5384,581700.1849999999,73,108.10812251003448,1
2023-07-03 10:20:00,107.98,107.87804778863492,107.87769841269841,4.681001250670973,11136,1201159.43,180,107.877297888,0
2023-07-03 10:25:00,107.96,107.960424031,107.96,4.681764491222002,6783,732304.245,128,107.95990841181396,0
2023-07-03 10:30:00,107.74,107.81738818860784,107.81786764705883,4.680438533011353,11538,1243853.385,128,107.81744752766666,1
2023-07-03 10:35:00,107.99,107.81217787114706,107.8125,4.680390437087674,6936,747699.23,102,107.81217080467647,1
2023-07-03 10:40:00,108.03,108.01027344322857,108.01071428571429,4.682226289024876,7769,839109.3200000001,93,108.01059988005714,0
2023-07-03 10:45:00,108.02,108.10485714285714,108.10471428571428,4.683101520363628,4521,488749.435,71,108.10374713348571,1
2023-07-03 10:50:00,108.18,108.06017431975,108.06071428571428,4.682688111350501,4203,454136.32,59,108.06053788007144,1
2023-07-03 10:55:00,108.19,108.16719135807408,108.16703703703705,4.683678065663621,3743,404875.41,53,108.16805792648148,1
2023-07-03 11:00:00,108.21,108.23378472225,108.23416666666667,4.684293546490005,3694,399823.685,53,108.2338670765,1
2023-07-03 11:05:00,108.27,108.21730158733334,108.21761904761905,4.68414113626785,2683,290368.67,36,108.21708985504763,0
2023-07-03 11:10:00,108.24,108.27078747792592,108.27074074074073,4.6846353487350845,5312,575070.445,75,108.27030079148147,1
2023-07-03 11:15:00,108.3,108.25887931034484,108.25887931034484,4.684525376186713,2981,322722.4325,54,108.25894354193103,1
2023-07-03 11:20:00,108.31,108.28808823529413,108.28823529411765,4.684795147543694,2475,268018.66000000003,39,108.28826048064705,1
2023-07-03 11:25:00,108.47,108.43955043860527,108.43934210526315,4.686192825590299,6180,670111.93,92,108.43940068263157,0
2023-07-03 11:30:00,108.38,108.4165388889,108.4165,4.685980486734558,7071,766679.23,61,108.4168772239,1
2023-07-03 11:35:00,108.56,108.43138888886666,108.4315,4.6861173029568475,4048,438933.09500000003,55,108.43147794196666,1
2023-07-03 11:40:00,108.62,108.59003256703448,108.5898275862069,4.687579595303009,6104,662797.99,73,108.59004156993103,0
2023-07-03 11:45:00,108.47,108.54501562503125,108.5453125,4.6871647688038225,3355,364152.34,56,108.54523615934374,0
2023-07-03 11:50:00,108.38,108.4099183275946,108.40986486486486,4.6859195307497945,10395,1126653.285,115,108.41032686394595,0
2023-07-03 11:55:00,108.33,108.349890625,108.350390625,4.6853656922984985,5855,634374.475,58,108.35038764871875,0
2023-07-03 12:00:00,108.27,108.22619112319565,108.22619565217391,4.68422336922374,10684,1156303.635,107,108.22605901076086,0
2023-07-03 12:05:00,108.27,108.25771093750001,108.2575,4.684514554602189,5754,622901.5599999999,69,108.257871214375,1
