Datetime,ClosePrice,AvgPrice,MedianPrice,LogAvgPrice,TotalVolume,TotalAmount,TradeCount,VWAP,FutureDirection
2023-07-18 10:50:00,150.0,149.95420416665,149.953625,5.0103299076461045,9463,1419233.6300000001,104,149.95466234650002,1
2023-07-18 10:55:00,150.04,150.00449489796827,150.00488095238097,5.010665183712885,9314,1397071.26,129,150.00424099514285,1
2023-07-18 11:00:00,150.33,150.16672297297296,150.1668581081081,5.011745941990844,8848,1329111.355,71,150.16666326618918,0
2023-07-18 11:05:00,150.27,150.37370614036843,150.3738157894737,5.013123507137588,5217,784481.27,76,150.37355957286843,0
2023-07-18 11:10:00,150.24,150.3199358974359,150.32,5.012765865441378,11725,1762580.2750000001,77,150.3201661137436,0
2023-07-18 11:15:00,150.21,150.22499716554762,150.2252380952381,5.012134133304464,13079,1965129.72,104,150.22463560380953,1
2023-07-18 11:20:00,150.38,150.29564619880702,150.29561403508774,5.012604303182336,7748,1164526.74,103,150.29547315945615,0
2023-07-18 11:25:00,150.35,150.33719019139474,150.33736842105262,5.012880690762707,4319,649294.8300000001,77,150.33753493526316,0
2023-07-18 11:30:00,150.27,150.28943089431706,150.28926829268292,5.012562962819152,6067,911834.31,82,150.28880442004876,0
2023-07-18 11:35:00,150.19,150.30011616163637,150.3001515151515,5.012634025526443,8834,1327733.94,78,150.29985013912122,0
2023-07-18 11:40:00,150.18,150.19670689655172,150.19698275862066,5.011945799252999,5566,835882.685,66,150.19702436572413,0
2023-07-18 11:45:00,150.04,150.09847630719608,150.09848039215686,5.011291553735382,9276,1392281.83,103,150.0983359162157,1
2023-07-18 11:50:00,150.23,150.1360238095238,150.13619047619048,5.011541605085721,6872,1031518.28,84,150.13594156202382,0
2023-07-18 11:55:00,150.12,150.12132782655883,150.12088235294118,5.011443765999175,5629,845105.3200000001,84,150.12101447032353,0
2023-07-18 12:00:00,150.0,150.0751711309375,150.075390625,5.01113624188237,5796,869814.68,57,150.07508415525,0
2023-07-18 12:05:00,149.97,149.9321129032258,149.93185483870968,5.010182532689557,4571,685451.59,52,149.93180558519356,0
2023-07-18 12:10:00,149.8,149.93354218107407,149.93407407407406,5.01019208761676,5787,867479.75,60,149.93390546411112,0
2023-07-18 12:15:00,149.66,149.7441197691212,149.7443181818182,5.008927911799774,11016,1649412.41,78,149.74261084824244,0
2023-07-18 12:20:00,149.39,149.46975625,149.47006249999998,5.00709391475894,6819,1019205.215,84,149.4700085794,1
2023-07-18 12:25:00,149.43,149.42840277777776,149.42840277777776,5.006817347117965,4460,666447.79,62,149.42853129033335,0
2023-07-18 12:30:00,149.32,149.3646062271154,149.36442307692306,5.006390326430028,6274,937093.215,58,149.36501003284616,0
2023-07-18 12:35:00,149.15,149.20812283552274,149.20852272727274,5.005342029857958,8631,1287834.35,77,149.20795488095453,1
2023-07-18 12:40:00,149.16,149.1143423202941,149.1144117647059,5.0047133808430875,6076,905996.22,67,149.114403091,0
2023-07-18 12:45:00,149.03,149.0845238095238,149.0845238095238,5.004513397656565,1778,265056.17,39,149.0840055034762,1
2023-07-18 12:50:00,149.21,149.15552709358622,149.1551724137931,5.0049895361582815,3190,475861.86,56,149.15593075413796,1
2023-07-18 12:55:00,149.22,149.23094086019353,149.23072580645163,5.005495032532652,5024,749740.08,50,149.23119839403228,0
2023-07-18 13:00:00,149.16,149.11953619527273,149.11954545454546,5.004748209488172,8654,1290653.84,80,149.11966465548485,1
2023-07-18 13:05:00,149.17,149.19131105003845,149.19115384615384,5.00522943390988,4844,722676.76,62,149.19124781142307,0
2023-07-18 13:10:00,149.15,149.1468936781724,149.14689655172415,5.004931675037987,6489,967771.64,59,149.14734585872412,0
2023-07-18 13:15:00,149.04,149.10533189033333,149.10525,5.004652954657682,6117,912066.66,74,149.10494413153336,1
2023-07-18 13:20:00,149.065,149.01795833333333,149.01791666666665,5.004066810162341,3940,587112.3150000001,63,149.01796434366668,0
2023-07-18 13:25:00,149.02,149.03466666668,149.0346,5.0041789347459105,3070,457535.865,49,149.03453042484,1
2023-07-18 13:30:00,149.11,149.0655491551613,149.06629032258064,5.004386128551825,5797,864091.62,72,149.0653615696774,0
2023-07-18 13:35:00,149.11,149.10047777776666,149.1005,5.004620397537564,6911,1030388.06,56,149.10078198736667,0
2023-07-18 13:40:00,148.98,149.07717261902857,149.0767142857143,5.0044640743725886,5850,872104.46,74,149.07730832091428,1
2023-07-18 13:45:00,149.02,148.95846153846153,148.95836538461538,5.003667474147491,5306,790402.95,55,148.9584856396154,1
2023-07-18 13:50:00,149.14,149.08568055556668,149.08566666666667,5.004521102900549,4331,645600.38,54,149.08566471766665,1
2023-07-18 13:55:00,149.15,149.1757265625,149.1756640625,5.005124944094628,4734,706205.61,50,149.17560231153124,0
2023-07-18 14:00:00,149.15,149.15161184210524,149.15184210526314,5.004963314454678,3685,549642.875,60,149.15145763157895,0
2023-07-18 14:05:00,149.14,149.09806818181818,149.0980303030303,5.004604240396579,5844,871380.41,66,149.09784987554545,0
