Datetime,ClosePrice,AvgPrice,MedianPrice,LogAvgPrice,TotalVolume,TotalAmount,TradeCount,VWAP,FutureDirection
2023-07-03 09:00:00,151.78,151.2410915439366,151.2408844580777,5.01887161654762,261492,39574243.214999996,1969,151.24149318531286,1
2023-07-03 10:00:00,152.17,152.04335388425275,152.0434581043956,5.024164851945953,158717,24132430.85,2239,152.04336172981456,1
2023-07-03 11:00:00,152.28,152.28280418167856,152.28284651360545,5.025739119884343,106429,16207799.76,1533,152.28279730635202,1
2023-07-03 12:00:00,152.45,152.33761200915475,152.33762589285715,5.026099005995275,259802,39580561.2175,2408,152.33764972322263,1
2023-07-03 13:00:00,152.5,152.5,152.5,5.0271645960474665,2860977,436298992.5,4,152.5,0
2023-07-03 15:00:00,152.5,152.5,152.5,5.0271645960474665,953659,145432997.5,2,152.5,0
2023-07-05 09:00:00,151.83,151.9175750804588,151.9175623678647,5.023337222026877,270936,41087307.392500006,1403,151.9173588478224,1
2023-07-05 10:00:00,151.85,151.76567554339945,151.76557313642755,5.022337211744136,119588,18150968.22,1638,151.76574479703095,1
2023-07-05 11:00:00,151.97,151.85247459093472,151.85250932835822,5.0229093853162885,107741,16360234.81,1404,151.85246918678172,0
2023-07-05 12:00:00,151.68,151.73622620893974,151.73624441964284,5.0221434812625585,111688,16946228.0725,1297,151.73627610442188,1
2023-07-05 13:00:00,151.73,151.70805765355504,151.7079759174312,5.021957941387479,120890,18340123.2275,1300,151.70811517995182,1
2023-07-05 14:00:00,151.97,151.82994426987554,151.82995493562234,5.02276105624358,78285,11886194.447,927,151.82998152567166,1
2023-07-05 15:00:00,152.23,152.08256243747496,152.08245161290324,5.024423402020274,364897,55513129.164,2858,152.08257635927922,0
2023-07-06 09:00:00,151.22,151.27850584146586,151.2785274390244,5.019121876473219,208653,31552573.494999997,1077,151.2781448248878,1
2023-07-06 10:00:00,151.47,151.20572886663075,151.20583189655173,5.018640262476643,149989,22676981.519,1775,151.20591542958476,1
2023-07-06 11:00:00,151.86,151.57423607539798,151.57426658163266,5.0210749439662115,116819,17708017.285,1338,151.57424664187585,0
2023-07-06 12:00:00,151.85,151.87533129408797,151.87540798611113,5.023059792216786,93547,14208396.57,949,151.87535796716205,1
2023-07-06 13:00:00,152.06,152.02647353416057,152.0264456300813,5.024054546962816,126976,19303758.565,1095,152.0263562112764,1
2023-07-06 14:00:00,152.09,152.00298528608485,152.002998989899,5.023900016646519,154334,23458539.1,1220,152.00295873679394,0
2023-07-06 15:00:00,151.99,152.06254533155916,152.06255684454757,5.024291833553698,525029,79826488.1395,3452,152.06252229878652,0
2023-07-07 09:00:00,150.65,151.08576223041607,151.08555352798052,5.0178441286654145,234874,35552598.19,1556,151.08579671740875,0
2023-07-07 10:00:00,150.57,150.42841708844725,150.42835066864785,5.013486854957406,130286,19600315.745,1684,150.428374457526,0
2023-07-07 11:00:00,149.57,149.99310355329624,149.99310344827586,5.0105876104459135,165082,24742589.872,1577,149.99300587576647,1
2023-07-07 12:00:00,150.32,149.99023837367903,149.9902674672489,5.0105691639295875,72215,10832678.38,908,149.99010720410044,0
2023-07-07 13:00:00,149.88,150.0652712589651,150.06533983572896,5.011069340756742,103888,15589040.095,1035,150.06540270929773,0
2023-07-07 14:00:00,149.53,149.7403059419613,149.7404003868472,5.00890201341758,99291,14869880.22,1132,149.7403034523849,0
2023-07-07 15:00:00,148.82,149.2215815778165,149.22151063829787,5.005430402102802,597592,89079473.0175,4249,149.22158280377573,0
2023-07-10 09:00:00,150.15,149.7617744117632,149.761838790932,5.0090444185748835,202551,30222435.395,1003,149.7614918691335,0
2023-07-10 10:00:00,149.2925,149.88125665740455,149.8812419093851,5.009841919969465,95838,14362279.5875,1314,149.88134562070712,1
2023-07-10 11:00:00,149.35,149.27567185289627,149.2757041942605,5.005794569241581,78241,11678892.11,940,149.27559417966668,0
2023-07-10 12:00:00,149.18,149.1831094261901,149.18308539944903,5.005174351724457,58662,8751676.285,782,149.18322318910742,1
2023-07-10 13:00:00,149.27,149.33607454253377,149.3360161042945,5.006199127236297,52466,7834967.69,652,149.3360758851135,0
2023-07-10 14:00:00,149.06,149.22890704388217,149.22891719745223,5.0054812243660844,55429,8271614.945,645,149.228944675,0
2023-07-10 15:00:00,148.93,148.88198410135635,148.8820200752823,5.003153782656443,363059,54050324.425,2477,148.8820108474429,0
2023-07-11 09:00:00,148.5,148.71314006386524,148.71304919137467,5.002018002523132,203810,30311315.794999998,955,148.71305425028032,0
2023-07-11 10:00:00,147.57,147.5468070457493,147.54664788732393,4.994142611070503,102411,15114396.575,1494,147.54670812434506,1
2023-07-11 11:00:00,148.06,147.9025322708898,147.90245490981962,4.996552853369039,66964,9903232.32,1058,147.9023524646012,0
2023-07-11 12:00:00,147.92,148.14149576409181,148.14148263027295,4.998167774010925,48527,7188549.75,674,148.14147563658312,0
2023-07-11 13:00:00,147.75,147.8789359459624,147.8789421965318,4.996393681709612,46445,6867926.5575,632,147.87882026963874,1
