,IC
momentum_3,0.015267039620047888
cum_ret_3,0.015267039620047888
bias_3,-0.006780027626291144
vol_mom_3,-0.08970383838112528
amt_mom_3,-0.08998342711623705
tradecount_mom_3,-0.0792487410682335
momentum_5,-0.008152226601655458
cum_ret_5,-0.008152226601655458
bias_5,-0.01331725487304438
vol_mom_5,-0.1244317023213247
amt_mom_5,-0.12448320550937161
tradecount_mom_5,-0.09539495285172178
momentum_10,0.017213108143012964
cum_ret_10,0.017213108143012964
bias_10,-0.002295570682278261
vol_mom_10,-0.1082964892660583
amt_mom_10,-0.10839949564215212
tradecount_mom_10,-0.07847983195854678
momentum_20,0.04283594090804455
cum_ret_20,0.04283594090804455
bias_20,0.01731978638034522
vol_mom_20,-0.1155363659857948
amt_mom_20,-0.11525677725068302
tradecount_mom_20,-0.10094258068850953
price_vol_combo,-0.03739502836765767
vol_price_divergence,-0.12427719275718396
mom_diff,0.06209077280355388
