,IC
momentum_3,-0.017130074613065885
cum_ret_3,-0.017130074613065885
bias_3,-0.09585552389864527
vol_mom_3,-0.20228066830322483
amt_mom_3,-0.2013434605736346
tradecount_mom_3,-0.2264919075502367
momentum_5,0.02129544230013358
cum_ret_5,0.02129544230013358
bias_5,-0.00015620128826503848
vol_mom_5,-0.22185789643244294
amt_mom_5,-0.220504151934146
tradecount_mom_5,-0.17343549707028103
momentum_10,0.03410394793786674
cum_ret_10,0.03410394793786674
bias_10,-0.02087890917876895
vol_mom_10,-0.23602014656847312
amt_mom_10,-0.23612428076064979
tradecount_mom_10,-0.2507031114607792
momentum_20,0.06805169458746843
cum_ret_20,0.06805169458746843
bias_20,0.03951892593105473
vol_mom_20,-0.11220459207038597
amt_mom_20,-0.10991363984249874
tradecount_mom_20,-0.18416131886448037
price_vol_combo,-0.038685852393641196
vol_price_divergence,-0.22196203062461967
mom_diff,0.04389256200247581
