,IC
momentum_3,-0.012608568606919663
cum_ret_3,-0.012608161012630115
bias_3,-0.02335054472050621
vol_mom_3,-0.0014257289060558586
amt_mom_3,-0.0014819755009774448
tradecount_mom_3,0.008770813456048647
momentum_5,-0.015423627716257526
cum_ret_5,-0.015423627718110355
bias_5,-0.017791043242194927
vol_mom_5,-0.012146818998935592
amt_mom_5,-0.012073453875124826
tradecount_mom_5,-0.00715228851636257
momentum_10,-0.007912461259911368
cum_ret_10,-0.007912053675158424
bias_10,-0.0025995709001436214
vol_mom_10,0.004363594530655809
amt_mom_10,0.0040424183219731295
tradecount_mom_10,0.012554822212387332
momentum_20,0.003286759360540969
cum_ret_20,0.003287166944392195
bias_20,0.0012785910751811147
vol_mom_20,-0.008805445193376435
amt_mom_20,-0.008729634565438646
tradecount_mom_20,0.01288944344458235
price_vol_combo,-0.011280471213460437
vol_price_divergence,-0.012272354877456232
mom_diff,0.0045392760197642285
