,IC
momentum_3,-0.06826541389749934
cum_ret_3,-0.06826541389749934
bias_3,-0.06822251789551287
vol_mom_3,-0.03500037360197802
amt_mom_3,-0.035117548316633634
tradecount_mom_3,-0.037545824231012846
momentum_5,-0.043737871484970624
cum_ret_5,-0.043737871484970624
bias_5,-0.06975546567934313
vol_mom_5,-0.06326056519328375
amt_mom_5,-0.06336030561499262
tradecount_mom_5,-0.04571319686908989
momentum_10,-0.01144177214879516
cum_ret_10,-0.01144177214879516
bias_10,-0.04606831713880812
vol_mom_10,-0.06851680432756733
amt_mom_10,-0.06854599664611628
tradecount_mom_10,-0.06510782149237788
momentum_20,-0.029317201551335905
cum_ret_20,-0.02931639065346703
bias_20,-0.04384848426124549
vol_mom_20,-0.030402988870980318
amt_mom_20,-0.030495431213051954
tradecount_mom_20,-0.030560717324644073
price_vol_combo,-0.006488004628411976
vol_price_divergence,-0.0631032510322145
mom_diff,0.004770109370143979
