,IC
momentum_3,-0.018205107472465818
cum_ret_3,-0.018205141287071618
bias_3,-0.03253808639496526
vol_mom_3,-0.003159744673953533
amt_mom_3,-0.0031363208799560314
tradecount_mom_3,-0.004119844873535394
momentum_5,-0.00920941798388782
cum_ret_5,-0.009209215145521173
bias_5,-0.023091212281511727
vol_mom_5,0.010838794257831508
amt_mom_5,0.01088229558705368
tradecount_mom_5,-0.00023551410613686732
momentum_10,0.000287051273242151
cum_ret_10,0.00028696676686566693
bias_10,-0.00932466428474537
vol_mom_10,0.005103564623943267
amt_mom_10,0.005127512325474464
tradecount_mom_10,0.0028487821829865172
momentum_20,0.0066882378692637
cum_ret_20,0.006688204068210614
bias_20,-0.0004561893629767853
vol_mom_20,0.004625151388053877
amt_mom_20,0.0046437247994227685
tradecount_mom_20,-0.0033552981515871058
price_vol_combo,-0.01918580269048833
vol_price_divergence,0.010787383592852655
mom_diff,0.010544897677982022
