,IC
momentum_3,-0.00522025751239076
cum_ret_3,-0.00522025751239076
bias_3,-0.037251316704036704
vol_mom_3,-0.06778243378273184
amt_mom_3,-0.06769420412600197
tradecount_mom_3,-0.042589200040790184
momentum_5,-0.010208921819130154
cum_ret_5,-0.010208921819130154
bias_5,-0.015120357570727515
vol_mom_5,-0.0458867739709328
amt_mom_5,-0.04569560971468472
tradecount_mom_5,-0.03844975507756715
momentum_10,-0.015190206198989316
cum_ret_10,-0.015190206198989316
bias_10,-0.0180907559246046
vol_mom_10,-0.05431270618863652
amt_mom_10,-0.05440828831676056
tradecount_mom_10,-0.05148568397443105
momentum_20,0.020631034934821983
cum_ret_20,0.020631034934821983
bias_20,-0.00859503905976934
vol_mom_20,-0.04748961273485898
amt_mom_20,-0.04737197319255247
tradecount_mom_20,-0.05744487010879443
price_vol_combo,0.002382204283557883
vol_price_divergence,-0.045930888799297735
mom_diff,0.031049486799270564
