,IC
momentum_3,0.051897795339218726
cum_ret_3,0.051897795339218726
bias_3,0.022739651555099438
vol_mom_3,-0.021092807044205717
amt_mom_3,-0.020820784088250464
tradecount_mom_3,-0.03238544058394677
momentum_5,0.045879992989123076
cum_ret_5,0.045879992989123076
bias_5,0.03431165253414648
vol_mom_5,-0.04370012027562174
amt_mom_5,-0.04363395252957857
tradecount_mom_5,-0.0439317141528986
momentum_10,0.03946539215899886
cum_ret_10,0.03946539202967441
bias_10,0.04801205188343258
vol_mom_10,-0.03178257401606877
amt_mom_10,-0.03103267289424619
tradecount_mom_10,-0.05269526016908551
momentum_20,0.0532870921785659
cum_ret_20,0.0532870921785659
bias_20,0.05174317740575804
vol_mom_20,-0.08953231236819002
amt_mom_20,-0.08898826645627954
tradecount_mom_20,-0.09970377055690038
price_vol_combo,-0.010667713992912086
vol_price_divergence,-0.043876567598403526
mom_diff,0.044097134844003565
