,IC
momentum_3,-0.03831302002564937
cum_ret_3,-0.03831303624318304
bias_3,-0.037453785808586514
vol_mom_3,-0.006007701008819766
amt_mom_3,-0.0060255555383556285
tradecount_mom_3,-0.0030848852768863397
momentum_5,-0.030432532089410953
cum_ret_5,-0.03043254830652102
bias_5,-0.039915330007783585
vol_mom_5,-0.020294633967887124
amt_mom_5,-0.02031602372602841
tradecount_mom_5,-0.014780077453428485
momentum_10,-0.024059210452916608
cum_ret_10,-0.024059242886809398
bias_10,-0.04040242026243414
vol_mom_10,-0.0012178541508631904
amt_mom_10,-0.0012401520436213442
tradecount_mom_10,0.0053232753243817686
momentum_20,-0.022794377055857736
cum_ret_20,-0.022794377056163537
bias_20,-0.03210552782467251
vol_mom_20,-0.014877916313610655
amt_mom_20,-0.014896711407574188
tradecount_mom_20,-0.008082060358619246
price_vol_combo,-0.005073729017240437
vol_price_divergence,-0.02026724404473525
mom_diff,-0.008847697757655069
