,IC
momentum_3,0.06524375857476732
cum_ret_3,0.06524375857476732
bias_3,0.026676264727320542
vol_mom_3,-0.2253012733883789
amt_mom_3,-0.2253012733883789
tradecount_mom_3,-0.21256822617679844
momentum_5,0.1261204386638627
cum_ret_5,0.1261204386638627
bias_5,0.06029781861351757
vol_mom_5,-0.2225652467148162
amt_mom_5,-0.22130246517317184
tradecount_mom_5,-0.21404147130871684
momentum_10,0.06566464016550606
cum_ret_10,0.06566464016550606
bias_10,0.0876580853491451
vol_mom_10,-0.250977831401814
amt_mom_10,-0.250977831401814
tradecount_mom_10,-0.24255928779085167
momentum_20,0.048617089353307365
cum_ret_20,0.048617089353307365
bias_20,0.058614109891325115
vol_mom_20,-0.12312120031032386
amt_mom_20,-0.12301596851518683
tradecount_mom_20,-0.14721928139670346
price_vol_combo,-0.10428478185095873
vol_price_divergence,-0.2228809421002273
mom_diff,-0.02483470365233883
