,IC
momentum_3,-0.015035857340077782
cum_ret_3,-0.015035857340077782
bias_3,0.01570510455091607
vol_mom_3,-0.13518882610589686
amt_mom_3,-0.13506984804111716
tradecount_mom_3,-0.15129548565361348
momentum_5,0.012165508419324142
cum_ret_5,0.012165508419324142
bias_5,-0.0008328464534576703
vol_mom_5,-0.15279757969328758
amt_mom_5,-0.1528273242094825
tradecount_mom_5,-0.1379104566813303
momentum_10,0.020151910258591
cum_ret_10,0.020151910258591
bias_10,0.027602911028882793
vol_mom_10,-0.19881234624682387
amt_mom_10,-0.19824720043912047
tradecount_mom_10,-0.18581399266964527
momentum_20,0.03707654042410876
cum_ret_20,0.03707654042410876
bias_20,0.010380836152025962
vol_mom_20,-0.1289424777049643
amt_mom_20,-0.127990653186727
tradecount_mom_20,-0.12858554351062534
price_vol_combo,-0.08031020227915693
vol_price_divergence,-0.1524703900151435
mom_diff,0.038504277239477566
