,IC
momentum_3,-0.03074338295424127
cum_ret_3,-0.030743415791647216
bias_3,-0.029106278142789183
vol_mom_3,0.0019913909396183454
amt_mom_3,0.0019897327726543187
tradecount_mom_3,-0.0014967668130050926
momentum_5,-0.013757481412870996
cum_ret_5,-0.013757547084962367
bias_5,-0.0299029952076895
vol_mom_5,-0.01226904466765304
amt_mom_5,-0.012265728330216002
tradecount_mom_5,-0.006560167085010961
momentum_10,-0.0048028144493038934
cum_ret_10,-0.004802748778784667
bias_10,-0.018582665578574603
vol_mom_10,-0.017361007841101863
amt_mom_10,-0.01736240331460783
tradecount_mom_10,-0.017465918852805372
momentum_20,-0.0159078284021907
cum_ret_20,-0.01590789407239722
bias_20,-0.0179588174921094
vol_mom_20,-0.001174933295527099
amt_mom_20,-0.0012079324274795716
tradecount_mom_20,0.0023717082493169665
price_vol_combo,-0.009273870668052391
vol_price_divergence,-0.012282178644072893
mom_diff,-0.011096498794415686
