,IC
momentum_3,-0.06958048889194376
cum_ret_3,-0.06958048889194376
bias_3,-0.0017707609448548566
vol_mom_3,-0.16030591870973693
amt_mom_3,-0.16093089305168523
tradecount_mom_3,-0.22551157505300873
momentum_5,0.018801314738017744
cum_ret_5,0.018801314738017744
bias_5,-0.03197785382968761
vol_mom_5,-0.1519729274837597
amt_mom_5,-0.15186876509343497
tradecount_mom_5,-0.20249168679124666
momentum_10,-0.03604018705235151
cum_ret_10,-0.03604018705235151
bias_10,-0.024269836945658676
vol_mom_10,-0.20915807977202844
amt_mom_10,-0.20978305411397674
tradecount_mom_10,-0.26905145420873977
momentum_20,-0.07364280995957376
cum_ret_20,-0.07364280995957376
bias_20,-0.0318736914393629
vol_mom_20,-0.11478695413783632
amt_mom_20,-0.11655771477335648
tradecount_mom_20,-0.2688431294280903
price_vol_combo,-0.06463277448720227
vol_price_divergence,-0.15155627792246082
mom_diff,-0.08093417728230383
