,IC
momentum_3,-0.020524222914052585
cum_ret_3,-0.020524628472535396
bias_3,-0.01119223245817767
vol_mom_3,-0.049318003400818704
amt_mom_3,-0.04934679808459491
tradecount_mom_3,-0.032179588450753166
momentum_5,-0.008119725531971505
cum_ret_5,-0.008119725531971505
bias_5,-0.01873844981321746
vol_mom_5,-0.037056737849580905
amt_mom_5,-0.037067282383837455
tradecount_mom_5,-0.041325369263439604
momentum_10,0.003911620026763222
cum_ret_10,0.003911620026763222
bias_10,-8.719518772894923e-05
vol_mom_10,-0.04301034411443062
amt_mom_10,-0.04293734349265453
tradecount_mom_10,-0.04091609383700593
momentum_20,0.002772809144159155
cum_ret_20,0.002772809144159155
bias_20,0.005775565863680786
vol_mom_20,-0.019265675207043226
amt_mom_20,-0.01924296390017637
tradecount_mom_20,-0.016212638753339247
price_vol_combo,-0.011202795905992867
vol_price_divergence,-0.03711027163888338
mom_diff,0.0013926906409925319
