,IC
momentum_3,0.004501347663445174
cum_ret_3,0.0045013803968596685
bias_3,-0.0016520493580492166
vol_mom_3,0.0059207745680257915
amt_mom_3,0.005929169922434748
tradecount_mom_3,0.012512779798249994
momentum_5,0.005866283493057962
cum_ret_5,0.00586633259044064
bias_5,0.0004942795189858127
vol_mom_5,0.00953084489577624
amt_mom_5,0.00954174412928469
tradecount_mom_5,0.011107944782728285
momentum_10,0.00856657008466808
cum_ret_10,0.00856661918103865
bias_10,0.0029816458263951934
vol_mom_10,0.0016323165861592797
amt_mom_10,0.0016466034256274909
tradecount_mom_10,0.006731119071189574
momentum_20,-0.007797617997478262
cum_ret_20,-0.007797601632310828
bias_20,-0.0018451790613264038
vol_mom_20,-0.0064049724629097774
amt_mom_20,-0.00637320755806897
tradecount_mom_20,-0.005523929720056278
price_vol_combo,-0.019978834477970654
vol_price_divergence,0.009504136843462957
mom_diff,-0.010397873834676236
