,IC
momentum_3,-0.021472476113831115
cum_ret_3,-0.021472476113831115
bias_3,-0.025357471792128185
vol_mom_3,-0.21881971835732175
amt_mom_3,-0.21850471876275748
tradecount_mom_3,-0.2146197237631313
momentum_5,-0.037274952023440125
cum_ret_5,-0.037274952023440125
bias_5,-0.04000494850966391
vol_mom_5,-0.2568296694347452
amt_mom_5,-0.25640966997532616
tradecount_mom_5,-0.20306973862910763
momentum_10,-0.08252989377584209
cum_ret_10,-0.08252989377584209
bias_10,-0.0572249263458447
vol_mom_10,-0.24695968213839767
amt_mom_10,-0.247694681192381
tradecount_mom_10,-0.2580897579845458
momentum_20,-0.13765482282459157
cum_ret_20,-0.13765482282459157
bias_20,-0.12106484417753935
vol_mom_20,-0.13040983214961308
amt_mom_20,-0.1337698278249654
tradecount_mom_20,-0.18899975673856967
price_vol_combo,-0.0292949622944783
vol_price_divergence,-0.25745966862387376
mom_diff,-0.13355982809525588
