,IC
momentum_3,0.1028150600051441
cum_ret_3,0.1028150600051441
bias_3,0.075822183370562
vol_mom_3,-0.10895795137755333
amt_mom_3,-0.10833021009389665
tradecount_mom_3,-0.10274032342514426
momentum_5,0.08183058197796025
cum_ret_5,0.08183058197796025
bias_5,0.09858527397617858
vol_mom_5,-0.11063192813397117
amt_mom_5,-0.10928676824042113
tradecount_mom_5,-0.13460566668124083
momentum_10,0.09425086987473957
cum_ret_10,0.09425086987473957
bias_10,0.10318871005632763
vol_mom_10,-0.17110433845956524
amt_mom_10,-0.16972928612393634
tradecount_mom_10,-0.17735186357596086
momentum_20,0.012823857993272748
cum_ret_20,0.012823857993272748
bias_20,0.08076937849716026
vol_mom_20,-0.17370498092042866
amt_mom_20,-0.17292777742637755
tradecount_mom_20,-0.1874555092676303
price_vol_combo,-0.01968417834976688
vol_price_divergence,-0.11131945430178564
mom_diff,-0.023256319937376268
