,IC
momentum_3,0.0217171214330998
cum_ret_3,0.0217171214330998
bias_3,0.0036987422853681697
vol_mom_3,-0.18716524237253102
amt_mom_3,-0.18689786345485596
tradecount_mom_3,-0.16886464089610576
momentum_5,0.06654765945045017
cum_ret_5,0.06654765945045017
bias_5,0.023083713840538218
vol_mom_5,-0.19248311195740134
amt_mom_5,-0.1922157330397263
tradecount_mom_5,-0.16581950977093113
momentum_10,0.09214174836091284
cum_ret_10,0.09214174836091284
bias_10,0.07314298836843991
vol_mom_10,-0.1849965022625001
amt_mom_10,-0.18466970580756395
tradecount_mom_10,-0.15772385265964559
momentum_20,0.0738411463972429
cum_ret_20,0.0738411463972429
bias_20,0.08775970253467566
vol_mom_20,-0.1807184395796994
amt_mom_20,-0.1806293132738077
tradecount_mom_20,-0.16268522135236455
price_vol_combo,0.04699928448688044
vol_price_divergence,-0.1926019470319236
mom_diff,0.05828860405315965
