,IC
momentum_3,-0.03346422804929548
cum_ret_3,-0.03346422805331958
bias_3,-0.06473589850188101
vol_mom_3,0.004095092823065221
amt_mom_3,0.0040991554151515956
tradecount_mom_3,0.010448198484242978
momentum_5,-0.020164797572330296
cum_ret_5,-0.020164797572330296
bias_5,-0.044428512441802986
vol_mom_5,0.004180407256879079
amt_mom_5,0.004155219185943559
tradecount_mom_5,0.005850544488942737
momentum_10,-0.0032106745995703133
cum_ret_10,-0.0032106745995703133
bias_10,-0.01679353703668689
vol_mom_10,0.024461679470476495
amt_mom_10,0.024491742651915664
tradecount_mom_10,0.024848448411226257
momentum_20,0.017703968820289444
cum_ret_20,0.01770396881816056
bias_20,-0.0003079444804804359
vol_mom_20,0.03930476591725337
amt_mom_20,0.03934864191178621
tradecount_mom_20,0.030933401307346092
price_vol_combo,0.01641703355674622
vol_price_divergence,0.004219408140908272
mom_diff,0.03662347495352426
