,IC
momentum_3,0.006777381945880652
cum_ret_3,0.006777381945880652
bias_3,0.03354270868634121
vol_mom_3,-0.1294728602661317
amt_mom_3,-0.12920356150431173
tradecount_mom_3,-0.08189675003885266
momentum_5,0.006956915427686408
cum_ret_5,0.006956915427686408
bias_5,0.01641226561354061
vol_mom_5,-0.05718110375978223
amt_mom_5,-0.05786931170665558
tradecount_mom_5,-0.04950609036598765
momentum_10,-0.013868887341487833
cum_ret_10,-0.013868887341487833
bias_10,0.01234286057399588
vol_mom_10,-0.12824605479561832
amt_mom_10,-0.12857519772673168
tradecount_mom_10,-0.1078990372358842
momentum_20,-0.0033363126157588863
cum_ret_20,-0.0033363126157588863
bias_20,-0.0029024422107267796
vol_mom_20,-0.057809467537362255
amt_mom_20,-0.05828822089170894
tradecount_mom_20,-0.04875803952806372
price_vol_combo,-0.03589169820787569
vol_price_divergence,-0.05592437620462218
mom_diff,0.021080109194825208
